Item Creation Full Month,Library Code,Normalized Call Number,Location Code,Full Call Number,Title,Author,ISBN,Barcode
Oct 17,THEO,0bx#9418 j62 1982,STACK,BX9418 .J62 1982,"John Calvin, his influence in the Western world /",,9780310447214; 0310447216,300000471033
Oct 17,THEO,0bx#9427 g68 2017,STACK,BX9427 .G68 2017,Gottesdienst in der reformierten Kirche : Einführung und Perspektiven /,,9783290181284; 3290181286; 3290178536; 9783290178536,300000458620
Oct 17,THEO,0bx#9620 i43 2017,STACK,BX9620 .I43 2017,Imagining a way : exploring reformed practical theology and ethics /,,0664262988; 9780664262983; 9781611648263; 1611648262,300000472185
Oct 17,THEO,"0cb""359 s653 1980",STACK,CB359 .S653 1980 V.1,The Renaissance and Reformation movements /,"Spitz, Lewis W. 1922-1999. (Lewis William),",0570038189; 9780570038184; 0570038197; 9780570038191,300000471031
Oct 17,THEO,"0cb""359 s653 1980",STACK,CB359 .S653 1980 V.2,The Renaissance and Reformation movements /,"Spitz, Lewis W. 1922-1999. (Lewis William),",0570038189; 9780570038184; 0570038197; 9780570038191,300000471034
Oct 17,THEO,"0dd""901 f735 h65 2004",STACK,DD901 .F735 H65 2004,Die grossen Frankfurter : ehrenwürdige Bürger und Ehrenbürger von Karl dem Grossen bis Friedrich von Metzler /,"Hoffmann, Hilmar.",3797309287; 9783797309280,300000461777
Oct 17,THEO,"0dd""901 w63 b56 1983",STACK,DD901.W63 B56 1983,"Wittenberg, die Lutherstadt /","Blaschke, Karlheinz.",,300000471025
Oct 17,THEO,0dk!67.5 b95 m49 1989,STACK,DK67.5 .B95 M49 1989,Byzantium and the rise of Russia : a study of Byzantino-Russian relations in the fourteenth century /,"Meyendorff, John, 1926-1992.",0881410799; 9780881410792,300000472304
Oct 17,THEO,0ds!94.5 d4 2017,STACK,DS94.5 .D4 2017,"The archaeology of death in Roman Syria : burial, commemoration, and empire /","De Jong, Lidewijde, author.",9781107131415; 1107131413,300000472277
Oct 17,THEO,0ds!96 k836 2016,STACK,DS96 .K836 2016,Neo-Assyrian historical inscriptions and Syria-Palestine : Israelite/Judean-Tyrian-Damascene political and commercial relations in the ninth-eighth centuries BCE /,"Kuan, Jeffrey K., author.",9781498281430; 1498281435,300000472218
Oct 17,THEO,0dt!14 a566 2016,STACK,DT14 .A566 2016,The baptism of Satan in Africa /,"Annku, Mcboafo F.",9781524554140; 1524554162; 9781524554163; 1524554154; 9781524554156,300000461845
Oct 17,THEO,"0dt""515.67 a23 a23 1958",STACK,DT515.67 .A23 A23 1958,Īdāʻ al-nusūkh man akhazu min al-shuyūkh /,"ʻAbd Allāh ibn Muḥammad, Emir of Gwandu, approximately 1767-1829.",,300000462451
Oct 17,THEO,"0gn""451 t87 1974",STACK,GN451 .T87 1974,"Dramas, fields, and metaphors; : symbolic action in human society /","Turner, Victor Witter.",9780801408168; 0801408164,300000472306
Oct 17,THEO,0hc!79 p63 a24 1901,STACK,HC79 .P63 A24 1901,Shakai mondai kaishakuhō /,"Abe, Isoo, 1865-1949.",,300000462449
